event_id,user_id,event_date,device,source,session_duration,feature_used,purchase_made,purchase_amount,is_after_update,is_problem_segment
0,user_0000,2024-02-02,android,organic,6.0,False,False,0.0,True,False
1,user_0000,2024-02-03,android,organic,4.7,False,False,0.0,True,False
2,user_0000,2024-02-04,android,organic,6.3,False,False,0.0,True,False
3,user_0000,2024-02-05,android,organic,8.0,False,False,0.0,True,False
4,user_0000,2024-02-06,android,organic,4.5,False,False,0.0,True,False
5,user_0000,2024-02-07,android,organic,4.5,True,False,0.0,True,False
6,user_0000,2024-02-08,android,organic,8.2,False,False,0.0,True,False
7,user_0000,2024-02-09,android,organic,6.5,False,False,0.0,True,False
8,user_0000,2024-02-10,android,organic,4.1,False,False,0.0,True,False
9,user_0000,2024-02-11,android,organic,6.1,False,False,0.0,True,False
10,user_0000,2024-02-12,android,organic,4.1,False,False,0.0,True,False
11,user_0000,2024-02-13,android,organic,4.1,True,False,0.0,True,False
12,user_0000,2024-02-14,android,organic,5.5,False,False,0.0,True,False
13,user_0000,2024-02-15,android,organic,1.2,False,False,0.0,True,False
14,user_0000,2024-02-16,android,organic,1.6,False,False,0.0,True,False
15,user_0000,2024-02-17,android,organic,3.9,False,False,0.0,True,False
16,user_0000,2024-02-18,android,organic,3.0,False,False,0.0,True,False
17,user_0000,2024-02-19,android,organic,5.6,False,False,0.0,True,False
18,user_0000,2024-02-20,android,organic,3.2,False,False,0.0,True,False
19,user_0000,2024-02-21,android,organic,2.2,False,False,0.0,True,False
20,user_0000,2024-02-22,android,organic,7.9,False,False,0.0,True,False
21,user_0000,2024-02-23,android,organic,4.5,False,False,0.0,True,False
22,user_0001,2024-01-26,android,vk_ads,8.2,False,False,0.0,False,False
23,user_0001,2024-01-27,android,vk_ads,3.7,False,False,0.0,False,False
24,user_0001,2024-01-28,android,vk_ads,6.4,False,False,0.0,False,False
25,user_0001,2024-01-29,android,vk_ads,8.3,False,False,0.0,False,False
26,user_0001,2024-01-30,android,vk_ads,4.5,False,False,0.0,False,False
27,user_0001,2024-01-31,android,vk_ads,9.1,False,False,0.0,False,False
28,user_0001,2024-02-01,android,vk_ads,3.8,False,False,0.0,True,False
29,user_0001,2024-02-02,android,vk_ads,4.4,False,False,0.0,True,False
30,user_0001,2024-02-03,android,vk_ads,3.8,False,False,0.0,True,False
31,user_0001,2024-02-04,android,vk_ads,8.7,False,False,0.0,True,False
32,user_0001,2024-02-05,android,vk_ads,5.0,False,False,0.0,True,False
33,user_0001,2024-02-06,android,vk_ads,2.9,True,False,0.0,True,False
34,user_0001,2024-02-07,android,vk_ads,6.6,False,False,0.0,True,False
35,user_0001,2024-02-08,android,vk_ads,2.6,False,False,0.0,True,False
36,user_0001,2024-02-09,android,vk_ads,5.4,True,False,0.0,True,False
37,user_0001,2024-02-10,android,vk_ads,1.1,False,False,0.0,True,False
38,user_0001,2024-02-11,android,vk_ads,2.3,False,False,0.0,True,False
39,user_0001,2024-02-12,android,vk_ads,5.4,False,False,0.0,True,False
40,user_0001,2024-02-13,android,vk_ads,6.5,False,False,0.0,True,False
41,user_0001,2024-02-14,android,vk_ads,5.3,False,False,0.0,True,False
42,user_0001,2024-02-15,android,vk_ads,4.8,False,False,0.0,True,False
43,user_0001,2024-02-16,android,vk_ads,4.4,True,False,0.0,True,False
44,user_0001,2024-02-17,android,vk_ads,2.0,False,False,0.0,True,False
45,user_0001,2024-02-18,android,vk_ads,3.6,False,False,0.0,True,False
46,user_0001,2024-02-19,android,vk_ads,4.1,True,False,0.0,True,False
47,user_0001,2024-02-20,android,vk_ads,7.1,False,False,0.0,True,False
48,user_0001,2024-02-21,android,vk_ads,5.7,True,False,0.0,True,False
49,user_0001,2024-02-22,android,vk_ads,1.5,False,False,0.0,True,False
50,user_0001,2024-02-23,android,vk_ads,5.6,False,False,0.0,True,False
51,user_0001,2024-02-24,android,vk_ads,4.2,False,False,0.0,True,False
52,user_0002,2024-02-02,ios,yandex_direct,3.6,False,False,0.0,True,False
53,user_0002,2024-02-03,ios,yandex_direct,6.2,True,False,0.0,True,False
54,user_0002,2024-02-04,ios,yandex_direct,7.1,False,False,0.0,True,False
55,user_0002,2024-02-05,ios,yandex_direct,6.9,False,False,0.0,True,False
56,user_0002,2024-02-06,ios,yandex_direct,3.3,True,False,0.0,True,False
57,user_0002,2024-02-07,ios,yandex_direct,4.4,False,False,0.0,True,False
58,user_0002,2024-02-08,ios,yandex_direct,5.7,False,False,0.0,True,False
59,user_0002,2024-02-09,ios,yandex_direct,7.0,False,False,0.0,True,False
60,user_0002,2024-02-10,ios,yandex_direct,4.0,True,False,0.0,True,False
61,user_0002,2024-02-11,ios,yandex_direct,4.6,False,False,0.0,True,False
62,user_0002,2024-02-12,ios,yandex_direct,2.8,False,False,0.0,True,False
63,user_0002,2024-02-13,ios,yandex_direct,2.6,False,False,0.0,True,False
64,user_0002,2024-02-14,ios,yandex_direct,6.6,False,False,0.0,True,False
65,user_0002,2024-02-15,ios,yandex_direct,7.7,False,False,0.0,True,False
66,user_0003,2024-01-29,android,yandex_direct,7.8,False,False,0.0,False,False
67,user_0003,2024-01-30,android,yandex_direct,11.0,True,False,0.0,False,False
68,user_0003,2024-01-31,android,yandex_direct,9.1,False,False,0.0,False,False
69,user_0003,2024-02-01,android,yandex_direct,3.7,False,False,0.0,True,False
70,user_0003,2024-02-02,android,yandex_direct,5.7,False,False,0.0,True,False
71,user_0003,2024-02-03,android,yandex_direct,8.1,False,False,0.0,True,False
72,user_0003,2024-02-04,android,yandex_direct,4.9,False,False,0.0,True,False
73,user_0003,2024-02-05,android,yandex_direct,8.1,False,False,0.0,True,False
